cnt,casual,registered,season,workingday,temp,hum,windspeed
175,55,108,Summer,1,7.6,0.67,0.33
189,46,101,Fall,1,27.4,0.41,0.35
164,63,111,Summer,1,25.9,0.51,0.42
184,59,113,Summer,1,21.1,0.77,0.26
195,62,127,Spring,1,4.1,0.63,0.47
166,42,122,Summer,1,11.8,0.3,0.31
172,59,125,Fall,0,27.1,0.76,0.16
195,62,127,Spring,1,4.1,0.63,0.47
184,59,123,Fall,1,38.2,0.75,0.42
172,62,120,Summer,1,18.9,0.42,250
178,65,115,Fall,0,16.9,0.87,0.44
167,55,104,Spring,1,11.9,0.52,0.46
184,64,128,Winter,0,16.3,0.5,0.21
184,77,126,Fall,0,13.5,0.39,0.49
172,63,111,Fall,0,22.1,0.48,0.16
187,42,130,Spring,1,24.6,0.83,0.18
162,57,112,Spring,1,7.1,0.9,0.17
170,62,115,Fall,0,1.7,0.52,0.46
172,69,138,Summer,0,-3.4,0.57,0.36
182,58,145,Fall,0,20.1,0.73,0.16
184,69,109,Spring,0,4,0.83,0.28
158,59,134,Winter,0,-6.5,0.66,0.35
148,78,131,Winter,1,18.9,0.53,0.13
176,53,126,Summer,0,39.9,0.55,0.45
194,63,111,Fall,1,14.9,0.72,0.42
171,49,143,Winter,0,23.4,0.3,0.3
163,60,108,Fall,1,15.8,0.67,0.49
191,60,138,Spring,1,14,0.51,0.27
188,61,126,Winter,1,24.2,0.78,0.49
191,70,139,Summer,1,12.1,0.36,0.37
174,50,143,Spring,1,17.7,0.65,0.35
197,66,114,Summer,1,18.2,0.59,0.17
173,65,111,Spring,0,8.3,0.69,0.45
172,50,101,Winter,1,24.9,0.34,0.27
189,56,115,Summer,0,13.3,0.65,0.16
199,57,99,Summer,1,7.4,0.64,0.11
162,72,121,Spring,1,20.4,0.64,0.32
191,60,114,Summer,0,6,0.66,0.31
191,58,135,Spring,1,15.3,0.71,0.39
181,51,111,Spring,0,14.9,0.78,0.46
173,60,134,Spring,0,25.9,0.46,0.13
201,60,135,Spring,0,19.7,0.8,0.39
176,63,142,Winter,0,14.7,0.6,0.17
169,46,129,Spring,1,23.2,0.35,0.44
171,50,119,Fall,1,28.9,0.34,0.43
205,50,129,Summer,0,20.6,0.5,0.32
185,52,117,Fall,1,15.1,0.77,0.38
193,72,111,Winter,1,1.9,0.72,0.23
200,64,115,Fall,0,4.3,0.77,0.29
173,52,113,Summer,1,11.9,0.61,0.43
169,51,93,Fall,0,8.9,0.56,0.28
177,,116,Winter,0,13.1,0.39,0.24
162,49,130,Spring,1,15.6,0.5,0.3
208,53,117,Fall,1,20.3,0.56,0.43
181,60,143,Winter,1,14.3,0.35,0.23
175,63,124,Winter,0,19.9,0.43,0.17
216,44,143,Summer,0,15.6,0.66,0.38
180,68,123,Summer,1,-4.8,0.74,0.43
171,52,111,Fall,1,5.6,0.9,0.14
184,57,110,Spring,1,13.6,0.86,0.2
,63,130,Winter,1,2.9,0.69,0.16
201,59,117,Fall,0,21,0.55,0.24
164,39,126,Winter,1,30.3,0.68,0.28
187,60,131,Winter,0,27.2,0.77,0.4
169,49,110,Spring,0,12.9,0.37,0.36
175,61,123,Spring,1,29.9,0.55,0.35
185,54,112,Fall,1,16.5,0.8,0.24
158,53,134,Spring,1,11.6,0.53,0.44
173,62,125,Spring,0,8.9,0.64,0.29
187,67,102,Fall,1,12,0.65,0.49
180,47,116,Spring,1,11.1,0.41,0.35
186,62,127,Summer,0,16.7,0.52,0.15
188,58,101,Winter,1,16.6,0.5,0.37
206,55,126,Winter,0,15,0.32,0.23
174,63,133,Winter,1,19.4,0.31,0.37
204,57,119,Winter,0,26.9,0.8,0.13
170,62,132,Fall,1,24.5,0.46,0.17
194,48,126,Winter,1,0.2,0.61,0.44
181,54,112,Winter,0,-10.5,0.48,0.19
159,52,130,Winter,0,24.3,0.86,0.43
200,52,127,Winter,1,1.3,0.46,0.21
174,47,126,Summer,0,12.8,,0.36
189,58,124,Winter,0,3.3,0.82,0.38
199,49,134,Summer,0,-3,0.81,0.31
186,68,132,Fall,0,20.4,0.41,0.22
165,51,115,Spring,,22.6,0.78,0.19
184,74,107,Winter,1,9.2,0.57,0.11
160,62,132,Spring,0,-10.9,0.59,0.22
182,67,124,Spring,0,9.5,0.38,0.36
186,56,124,Fall,0,18.9,0.35,0.48
189,60,130,Spring,0,0.2,0.74,0.45
173,49,129,Summer,1,16.8,0.6,0.41
186,55,150,Spring,1,14.8,0.56,0.42
186,51,124,Spring,0,20.8,0.74,0.37
159,61,126,Spring,0,78800,0.76,0.2
170,56,113,Winter,0,5.3,0.4,0.46
199,56,99,Winter,1,27,0.67,0.37
193,54,115,Summer,0,13.4,0.38,0.32
183,66,128,Summer,1,14.7,0.75,0.14
167,59,129,Winter,0,5.7,0.69,0.28
171,56,120,Summer,1,10.6,0.87,0.28
186,49,126,Winter,0,-86,0.34,0.45
202,75,118,Fall,1,13.3,0.33,0.32
177,45,108,Spring,0,32.1,0.47,0.25
172,62,126,Spring,0,1.3,0.46,0.49
196,50,101,Summer,0,-1.1,0.45,0.14
165,52,125,Winter,1,29.7,0.84,0.27
206,51,145,Winter,0,12.9,0.45,0.12
183,64,118,Summer,1,8.3,0.46,0.4
163,57,117,Winter,1,25.4,0.76,0.47
198,57,117,Fall,0,8.9,0.57,0.21
188,59,136,Spring,0,33.3,0.77,0.44
174,59,110,Summer,0,21.8,0.34,0.22
193,66,125,Summer,1,10.1,0.59,0.46
180,57,134,Winter,0,36.6,0.32,0.4
193,72,153,Summer,1,8.9,0.34,0.42
188,63,134,Fall,1,22.4,0.84,0.11
199,50,129,Winter,0,18,0.38,0.49
175,63,129,Winter,0,28,0.62,0.39
183,71,106,Winter,0,30.6,0.55,0.22
179,51,139,Winter,0,15.3,0.51,0.43
171,54,130,Fall,0,7.5,0.84,0.21
139,66,105,Winter,0,19.6,0.31,0.45
194,56,126,Summer,1,8.2,0.7,0.15
162,49,109,Fall,1,35.1,0.88,0.38
191,50,99,Spring,1,16.4,0.64,0.32
185,67,112,Spring,0,11.3,0.86,0.14
150,53,114,Summer,1,16.8,0.33,0.2
181,65,116,Summer,1,1.5,0.55,0.1
181,64,123,Fall,1,5.3,0.46,0.29
193,54,126,Spring,1,27,0.74,0.22
178,62,130,Spring,1,8.4,0.89,0.34
195,59,119,Spring,0,4.5,0.45,0.22
176,51,106,Spring,0,20.4,0.69,0.22
164,60,124,Spring,1,26.9,0.42,0.4
182,75,122,Winter,1,22.2,0.64,0.12
186,65,114,Summer,1,25,0.58,0.46
182,62,102,Winter,0,7.4,0.88,0.44
177,58,88,Spring,0,0.8,0.67,0.37
174,59,117,Fall,1,30,0.51,0.34
148,50,122,Fall,0,11.8,0.37,0.46
196,70,131,Spring,0,12.5,0.39,0.17
179,62,108,Spring,1,28.3,0.44,0.13
180,43,124,Fall,0,20.6,0.45,0.2
165,68,96,Winter,0,19.6,0.81,0.42
176,56,127,Winter,1,36.7,0.64,0.11
185,61,127,Spring,0,8.6,0.61,0.33
175,56,115,Winter,0,24.3,0.37,0.5
180,66,101,Fall,1,15.6,0.82,0.44
186,53,121,Winter,0,17.7,0.73,0.31
155,50,118,Spring,0,30.3,0.34,0.13
207,60,121,Fall,1,20.1,0.72,0.43
176,73,101,Winter,1,20.4,0.63,0.34
178,62,111,Summer,1,25.7,0.35,0.15
207,51,134,Fall,0,11.4,0.57,0.14
167,60,109,Fall,1,6.6,0.59,0.46
160,45,125,Summer,0,4.6,0.4,0.37
159,53,122,Summer,1,-4.7,0.87,0.43
155,53,109,Fall,0,35.6,0.81,0.45
196,61,100,Summer,1,4,0.7,0.33
194,67,112,Spring,1,12.8,0.58,0.31
161,60,134,Spring,1,12.2,0.55,0.27
185,58,128,Spring,1,18.1,0.69,0.23
