timestamp,line,machine,shift,product_type,batch_size,operator_experience_years,setup_time_min,cycle_time_min,wait_time_min,temperature_F,pressure_bar,vibration_mm_s,torque_Nm,humidity_pct,energy_kwh,defect,defect_count,failure,sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,sensor_11,sensor_12
2025-10-06 17:45:00,Line-B,M3,Swing,P4,15,1.8,16.7,25.67,11.84,,32.34,2.784,57.52,34.3,4.863,0,0,0,0.689,0.813,0.661,1.254,0.885,0.933,0.58,1.029,1.841,-0.584,-0.032,-0.356
2025-09-13 13:17:00,Line-A,M3,Day,P1,36,2.1,7.59,26.8,17.49,77.94,33.38,3.925,66.79,53.2,4.548,0,0,1,1.091,1.079,0.643,1.503,1.752,1.542,1.439,1.966,2.31,1.258,1.077,1.119
2025-09-07 07:09:00,Line-B,M5,Night,P3,10,8.1,13.99,16.2,8.81,55.87,22.46,1.556,46.21,26.8,3.703,0,0,0,-2.526,-1.293,-1.839,-1.51,-1.194,-0.169,0.094,0.038,0.625,-3.349,-2.683,-2.868
2025-10-04 03:18:00,Line-B,M4,Day,P1,6,3.6,7.77,28.34,22.36,78.74,33.2,,58.8,42.5,4.424,0,0,0,1.148,0.818,1.873,1.406,1.58,-0.179,-0.252,0.362,0.306,1.599,1.112,0.522
2025-10-25 04:42:00,Line-B,M5,Swing,P2,5,0.2,17.78,22.35,12.72,70.74,31.47,3.559,57.37,37.9,4.662,0,0,1,-0.083,0.448,0.594,0.594,0.958,1.059,2.479,2.061,2.241,-1.042,-1.144,-1.028
2025-10-04 19:35:00,Line-A,M2,Swing,P2,33,7.4,10.6,22.32,7.49,71.08,28.66,2.237,49.34,38.6,4.514,0,0,0,0.246,0.408,0.325,-0.338,0.48,0.383,1.511,0.959,0.167,-0.114,0.093,-0.337
2025-09-10 23:04:00,Line-A,M1,Swing,P3,40,3.5,15.55,18.85,8.5,58.11,25.47,0.996,50.9,36.2,3.68,0,0,0,-0.721,-0.375,-0.926,-1.24,-0.875,0.59,0.128,-0.126,-0.454,-0.757,-1.97,-1.2
2025-10-26 06:47:00,Line-B,M1,Swing,P3,49,4.1,18.34,26.1,7.6,70.32,29.36,2.839,58.55,44.8,4.344,0,0,0,0.029,-0.052,-0.457,-0.188,0.111,1.144,1.437,1.104,1.285,-0.076,-0.1,-0.444
2025-10-10 12:50:00,Line-A,M5,Day,P1,17,7.6,12.1,24.88,16.34,74.71,31.73,1.292,56.53,42.8,3.988,0,0,0,0.421,0.58,1.32,0.448,1.302,-1.035,-0.059,-0.275,0.139,0.99,-0.24,-0.12
2025-09-29 14:08:00,Line-A,M5,Day,P1,49,5.3,8.9,19.69,1.34,62.15,22.25,1.821,48.76,41.0,4.316,0,0,0,-1.207,-0.202,-0.732,-0.991,-0.749,-0.144,-0.231,0.016,0.31,-1.249,-0.838,-1.358
2025-10-09 02:11:00,Line-B,M4,Swing,P1,6,0.2,6.76,29.61,13.07,64.58,30.35,1.824,55.88,32.8,4.489,0,0,0,0.179,0.753,0.647,0.724,0.425,-0.569,0.301,0.346,0.085,-1.438,-0.226,-0.942
2025-09-09 12:54:00,Line-A,M1,Night,P4,23,4.6,17.66,26.49,18.74,80.99,36.11,0.976,56.93,32.9,4.505,0,0,0,0.68,1.167,1.442,2.249,1.426,-1.061,-0.871,-1.095,-1.067,-0.085,0.608,0.31
